数据库：年度数据
时间：最近20年
指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年
粮食产量(万吨),66384.34,65789.22,66160.72,66043.51,66060.27,63964.83,63048.20,61222.62,58849.33,55911.31,53940.86,53434.29,50413.85,49804.23,48402.19,46946.95,43069.53,45705.75,45263.67,46217.52
夏收粮食产量(万吨),14160.00,13881.02,14174.46,14050.16,14074.94,13587.52,13112.33,12939.98,12529.47,12203.61,12175.18,11993.11,11633.72,11655.96,10639.86,10114.13,9637.61,9861.33,10173.40,10679.27
秋粮产量(万吨),49597.00,49049.18,48999.10,48890.78,48778.09,47134.25,46660.07,45052.75,43130.10,40617.59,38472.42,38322.15,35638.37,35008.49,34575.08,33611.17,30483.67,32815.45,31690.00,31786.35
谷物产量(万吨),61369.73,61003.58,61520.54,61666.53,61818.41,59601.54,58650.35,56659.03,54061.73,51196.75,49243.35,48569.44,45962.96,45099.24,42776.01,41157.21,37428.73,39798.66,39648.21,40522.36
稻谷产量(万吨),20961.40,21212.90,21267.59,21109.42,21214.19,20960.91,20628.56,20653.23,20288.25,19722.57,19619.67,19261.22,18638.11,18171.83,18058.84,17908.76,16065.56,17453.85,17758.03,18790.77
早稻产量(万吨),2627.00,2859.02,2987.16,3102.57,3207.25,3243.05,3275.81,3229.89,3189.76,3090.10,3293.26,3119.03,3141.76,3139.78,3187.25,3221.65,2948.25,3028.97,3400.27,3751.90
中稻和一季晚稻产量(万吨),,15212.37,14957.28,14638.86,14475.73,14142.34,13879.09,13828.23,13612.62,13069.66,12774.48,12677.49,12056.15,11593.49,11410.12,11391.22,9926.74,10900.73,10403.81,10906.41
双季晚稻产量(万吨),,3141.52,3323.15,3367.99,3531.22,3575.52,3473.67,3595.11,3485.87,3562.81,3551.93,3464.70,3440.19,3438.57,3461.47,3295.89,3190.57,3524.15,3953.95,4132.46
小麦产量(万吨),13359.63,13144.05,13424.13,13318.83,13255.52,12823.52,12363.93,12247.49,11856.95,11609.34,11579.61,11290.13,10949.15,10846.59,9744.51,9195.18,8648.80,9029.00,9387.30,9963.60
冬小麦产量(万吨),,12500.52,12794.09,12660.84,12624.80,12230.99,11763.68,11629.10,11230.45,10975.76,10843.27,10707.89,10401.92,10225.84,9141.20,8620.96,8220.27,8442.99,9387.34,9220.51
春小麦产量(万吨),,643.53,630.04,657.99,630.71,592.54,600.25,618.39,626.50,633.58,736.34,582.24,547.23,620.75,603.31,574.22,428.58,586.01,,743.07
玉米产量(万吨),26077.89,25717.39,25907.07,26361.31,26499.22,24976.44,24845.32,22955.90,21131.60,19075.18,17325.86,17211.95,15512.25,15160.30,13936.54,13028.71,11583.02,12130.76,11408.77,10599.98
谷子产量(万吨),,234.18,254.79,233.02,211.95,197.24,177.64,177.47,173.73,161.88,125.55,124.73,152.13,163.94,178.34,181.26,194.07,217.56,196.69,212.52
高粱产量(万吨),,290.94,246.49,223.45,220.25,249.98,242.95,198.96,189.16,193.31,150.34,174.88,174.91,218.19,254.64,232.72,286.19,332.69,269.66,258.24
其他谷物产量(万吨),,404.11,420.47,420.49,417.28,393.44,391.95,425.97,422.03,434.48,442.32,506.54,536.41,538.39,603.13,610.58,650.99,634.81,627.72,697.27
大麦产量(万吨),,95.65,108.52,119.24,141.14,146.14,153.52,168.46,190.37,195.17,221.03,260.77,278.04,312.96,344.41,322.18,324.95,332.20,,
豆类产量(万吨),2131.90,1920.27,1841.56,1650.66,1512.52,1564.52,1542.40,1680.64,1863.30,1871.84,1904.59,2021.86,1709.13,2003.72,2157.67,2232.07,2127.51,2241.22,2052.81,2010.00
